"No.","Time","Source","Destination","Protocol","Length","Info"
"28401","646.921769464","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28402","646.921949702","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28403","646.922028538","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28404","646.922222998","PcsCompu_c8:46:cd","Broadcast","ARP","60","Who has 10.10.5.62? Tell 10.10.5.13"
"28405","646.922349237","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=30961 Ack=3276008 Win=65536 Len=0"
"28406","646.922349363","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28407","646.922433383","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28408","646.922718589","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31000 Ack=3280186 Win=65536 Len=0"
"28409","646.922718720","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28410","646.922916006","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28411","646.923316009","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=21718 Ack=2285822 Win=65536 Len=0"
"28412","646.923421520","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31039 Ack=3284364 Win=65536 Len=0"
"28413","646.923634074","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28414","646.923634202","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28415","646.924768113","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28416","646.925741986","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28417","646.925742230","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=21757 Ack=2290000 Win=65536 Len=0"
"28418","646.925742309","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28419","646.925742377","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31078 Ack=3288542 Win=65536 Len=0"
"28420","646.925742447","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28421","646.925770210","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28422","646.925770285","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=21796 Ack=2294178 Win=65536 Len=0"
"28423","646.925770328","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28424","646.925770370","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28425","646.925770414","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28426","646.925928922","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=21835 Ack=2298356 Win=65536 Len=0"
"28427","646.925929107","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31117 Ack=3292720 Win=65536 Len=0"
"28428","646.925929158","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28429","646.926029033","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28430","646.926305747","10.10.5.13","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"28431","646.926305886","10.10.5.13","10.10.5.14","SMB","4232","Trans2 Request, SESSION_SETUP"
"28432","646.926550423","10.10.5.14","10.10.5.13","TCP","60","445  >  49296 [ACK] Seq=21874 Ack=2302534 Win=65536 Len=0"
"28433","646.926550556","10.10.5.14","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"28434","646.926550616","10.10.5.12","10.10.5.13","TCP","66","445  >  49291 [ACK] Seq=31156 Ack=3294180 Win=65536 Len=0 SLE=3295640 SRE=3296898"
"28435","646.926846359","10.10.5.12","10.10.5.13","TCP","60","445  >  49291 [ACK] Seq=31156 Ack=3296898 Win=65536 Len=0"
"28436","646.926846493","10.10.5.12","10.10.5.13","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
